"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"D-1",0.893301000303122,0.000156519017060573,0,0.000440024641379917,0.000271788367457873,0.000632777894958869,0.000211550666384599,0.000116877045348294,0.000374859427714607,0.000445103857566766,0.000153917192550408,0.00169648365206663,0.46043956043956,0.00119161105815062,0.000253485424588086,0.000286944045911047,0,0.000942803268384664,0.000319081046585833,0.000395256916996047,0,0,0,0,0.971556051310653,0.00255427841634738,0.0697359512525389,0
"D3",0.0710821461048803,7.82595085302864e-05,0.000168762129778078,0.000352019713103934,0,0.00021092596498629,0,0.000467508181393174,0.00187429713857304,0.000148367952522255,0.925504078805603,0.951727328809377,0.531428571428571,0.000476644423260248,0.00126742712294043,0.000860832137733142,0,0,0.000319081046585833,0,0,0.021018593371059,0.99247311827957,0.000543773790103317,0.00948131622978249,0.722222222222222,0.039945836154367,0
"D5",7.57805395574416e-05,0,8.43810648890389e-05,8.80049282759835e-05,0,0,0.000211550666384599,0.000116877045348294,0.000249906285143071,0.00029673590504451,0.00600277050946591,0.00786551511412708,0.000659340659340659,0.000238322211630124,0.000760456273764259,0,0.00402227722772277,0,0,0.000790513833992095,0,0.95109135004042,0.0010752688172043,0,0,0.176883780332056,0,0.000897666068222621
"D7",0.0145498635950288,0.00313038034121146,0.000168762129778078,0.000176009856551967,0.000181192244971915,0,0.00306748466257669,0.880785413744741,0.423216293889791,0.000890207715133531,0.0492535016161305,0.0266810610734115,0.00285714285714286,0.000476644423260248,0.319391634980989,0.0499282639885222,0.876856435643564,0,0,0.00711462450592885,0,0.0101050929668553,0,0,0.00669269380925823,0.0632183908045977,0.017603249830738,0.731597845601436
"D9",0.0009093664746893,0.000313038034121146,8.43810648890389e-05,0.000352019713103934,9.05961224859576e-05,0.000316388947479435,0.144383329807489,0.0128564749883123,0.0935899037860802,0.0402077151335312,0.00107742034785286,0.000462677359654534,0,0.000714966634890372,0.000506970849176172,0,0.00711633663366337,0.000314267756128221,0.000957243139757498,0.00197628458498024,0,0,0,0,0.00278862242052426,0.000638569604086846,0.0690589031821259,0.00179533213644524
"D10",0.000530463776902091,0.000313038034121146,0.000168762129778078,0.00026401478482795,0,0.000843703859945159,0.150200973133065,0.0018700327255727,0.0684743221292015,0.056379821958457,0.000461751577651224,0.000308451573103023,0,0.000476644423260248,0.000760456273764259,0.000286944045911047,0.00433168316831683,0.000314267756128221,0.000957243139757498,0,0.000791765637371338,0,0.000537634408602151,0,0.000557724484104852,0,0.039945836154367,0.00718132854578097
"D11",0.0063655653228251,0.016669275316951,0.000168762129778078,0.000968054211035818,0.000181192244971915,0.0061168529846024,0.525386079966152,0.0806451612903226,0.334999375234287,0.192433234421365,0.00908111436047407,0.00123380629241209,0.0043956043956044,0.00214489990467112,0.243852978453739,0.0172166427546628,0.077970297029703,0.00125707102451289,0.00382897255902999,0.0110671936758893,0.00277117973079968,0.0145513338722716,0,0.011963023382273,0.00780814277746793,0.0159642401021711,0.234258632362898,0.228007181328546
"D12",0.000227341618672325,0.00954766004069495,0,0.0892369972718472,0,0.0266821345707657,0.0367040406177279,0.00210378681626928,0.006997375984006,0.0977744807121662,0,0,0,0.000238322211630124,0.000760456273764259,0.0117647058823529,0.00185643564356436,0,0.000638162093171666,0.0114624505928854,0.00395882818685669,0,0,0.0163132137030995,0.000557724484104852,0,0.02708192281652,0.00269299820466786
"D13",0.00151561079114883,0.0857724213491939,0.015272972744916,0.353779811669453,0.0196593585794528,0.0746677916051466,0.048022001269304,0.00444132772323516,0.0217418468074472,0.238872403560831,0.000307834385100816,0.00107958050586058,0,0.0507626310772164,0.0159695817490494,0.0154949784791966,0.00649752475247525,0.00471401634192332,0.00382897255902999,0.436758893280632,0.281076801266825,0.000404203718674212,0,0.159325720500272,0,0.000638569604086846,0.178740690589032,0.0107719928186715
"D14",7.57805395574416e-05,0.0373297855689466,0.0080162011644587,0.0953973422511661,0.0103279579633992,0.0263657456232862,0.00158662999788449,0.000467508181393174,0.00112457828314382,0.0510385756676558,0,0.000154225786551511,0,0.00214489990467112,0.000253485424588086,0.0284074605451937,0.000928217821782178,0.00125707102451289,0.001914486279515,0.0264822134387352,0.00277117973079968,0,0,0.0783034257748776,0,0,0.041976980365606,0
"D15",0.00265231888451046,0.116763186727187,0.0913846932748291,0.194666901346475,0.181645225584345,0.08953807213668,0.0355405119526127,0.0018700327255727,0.00924653255029364,0.108902077151335,0.000923503155302447,0.00293028994447872,0,0.204718779790276,0.0152091254752852,0.0493543758967001,0.00340346534653465,0.0160276555625393,0.00638162093171666,0.142292490118577,0.262866191607284,0.00202101859337106,0.0032258064516129,0.143556280587276,0,0.000638569604086846,0.14218009478673,0.00897666068222621
"D16",0.000151561079114883,0.0626858663327594,0.0451438697156358,0.0429464049986799,0.0336111614422903,0.0438726007171483,0.000423101332769198,0,0.000374859427714607,0.0281899109792285,0,0,0,0.00428979980934223,0.000253485424588086,0.0427546628407461,0,0.00125707102451289,0.00446713465220166,0.0185770750988142,0,0.000404203718674212,0.000537634408602151,0.0500271886895052,0,0,0.022342586323629,0
"D18",0.00462261291300394,0.6558146814838,0.527466036621382,0.204523453313386,0.590143141873528,0.494726850875343,0.0371271419504971,0.0108695652173913,0.0319880044983131,0.14540059347181,0.00631060489456672,0.00370141887723627,0,0.273832221163012,0.337896070975919,0.748923959827834,0.0145420792079208,0.200817096165933,0.0271218889597958,0.254545454545455,0.291765637371338,0.000404203718674212,0.00161290322580645,0.411636759108211,0.000557724484104852,0.0127713920817369,0.0534867975626269,0.00628366247755835
