"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"D-1",0.00036952183874067,0.00132397722759169,0.901769735533903,0.00015985932379506,0.000578082418036171,0.000355523953426362,0.00270416441319632,0,0.000112120192846732,0.000356887937187723,0.000175870559268378,0.000987898246480612,0.000253485424588086,0.554465942221044,0.000319693094629156,0,0,0
"D3",0.000147808735496268,0.934198331788693,0.0634320938556373,0,0.000165166405153192,0.00168873877877522,0.00432666306111412,0.000190313064991912,0.000448480771386927,0.000237925291458482,0,0.000493949123240306,0.00152091254752852,0.438112907500663,0.000319693094629156,0.0227272727272727,0.992872807017544,0
"D5",3.6952183874067e-05,0.00681848272209718,6.62822297342083e-05,0,0,0.000177761976713181,0.000180277627546421,9.51565324959559e-05,0.000112120192846732,0.000237925291458482,0.00263805838902568,0.000246974561620153,0.000760456273764259,0.000795123244102836,0,0.944083694083694,0.00109649122807018,0.000897666068222621
"D7",0.000147808735496268,0.0417052826691381,0.014316961622589,0.00351690512349133,0,0.285752377566439,0.00450694068866054,0.000190313064991912,0.884628321560713,0.000713775874375446,0.492613436510728,0.000493949123240306,0.319645120405577,0.00159024648820567,0,0.00901875901875902,0,0.731597845601436
"D9",0.000221713103244402,0.000794386336555011,0.00119308013521575,0.00015985932379506,0.000247749607729788,0.0687938849880011,0.12998016946097,9.51565324959559e-05,0.0124453414059872,0.0317630264097074,0.00545198733731973,0.000740923684860459,0.000506970849176172,0,0.000959079283887468,0,0,0.00179533213644524
"D10",0.000147808735496268,0.000330994306897921,0.000530257837873666,0.000239788985692591,0.000825832025765959,0.0495955915029775,0.132864611501713,0.000190313064991912,0.0021302836640879,0.0448489174399239,0.00211044671122054,0.000493949123240306,0.000760456273764259,0,0.000639386189258312,0,0.000548245614035088,0.00718132854578097
"D11",0.000628187125859138,0.0050311134648484,0.00676078743288924,0.0169450883222764,0.00545049137005533,0.24922229135188,0.472147106544078,0.000190313064991912,0.0784841349927122,0.15667380442541,0.0495954977136827,0.00172882193134107,0.243599493029151,0.00477073946461702,0.0028772378516624,0.0209235209235209,0,0.228007181328546
"D12",0.0369152316901929,0,0.000265128918936833,0.0102309967228839,0.0218019654802213,0.00853257488223269,0.0358752478817379,0,0.00224240385693463,0.0814894123245301,0.00615546957439325,0.000246974561620153,0.000760456273764259,0,0.000639386189258312,0,0,0.00269299820466786
"D13",0.158783534106866,0.000661988613795843,0.00125936236494996,0.0720166253696747,0.114542901973739,0.022131366100791,0.0817559040923021,0.0144637929393853,0.00414844713532907,0.218177492267428,0.196975026380584,0.0716226228698444,0.0159695817490494,0,0.00383631713554987,0.000360750360750361,0,0.0107719928186715
"D14",0.0464119429458281,6.61988613795843e-05,6.62822297342083e-05,0.0294940452401886,0.021058716657032,0.00977690871922496,0.0163151252929511,0.00542392235226948,0.00067272115708039,0.0566262193671187,0.0123109391487865,0.00172882193134107,0.000253485424588086,0,0.00191815856777494,0,0,0
"D15",0.171901559382159,0.00165497153448961,0.00245244250016571,0.113340260570698,0.121232141382443,0.0222202470891476,0.0583198125112674,0.0789799219716434,0.00224240385693463,0.112300737568404,0.0645444952514949,0.196344776488022,0.0152091254752852,0,0.00639386189258312,0.0018037518037518,0.00328947368421053,0.00897666068222621
"D16",0.0337373438770231,0,0.000132564459468417,0.063464151546639,0.0352630275002065,0.0134210292418452,0.00432666306111412,0.0453896660005709,0,0.0331905781584582,0.00809004572634541,0.00395159298592245,0.000253485424588086,0,0.00447570332480818,0.000360750360750361,0.000548245614035088,0
"D18",0.372995344024832,0.00556070435588508,0.00424206270298933,0.677164095595876,0.450078454042448,0.253044173851213,0.0356949702541915,0.535826434484727,0.00896961542773854,0.203901974779919,0.118888498065424,0.281797974808595,0.337642585551331,0,0.0278132992327366,0.000360750360750361,0.00109649122807018,0.00628366247755835
"D21",0.126561229768679,0.000992982920693764,0.00245244250016571,0.0121493086084246,0.120406309356677,0.0114656474980002,0.0126194339282495,0.230944904367685,0.00325148559255522,0.0344991672614799,0.0379880408019697,0.143245245739689,0.0157160963244613,0,0.444373401534527,0.000360750360750361,0,0.00179533213644524
"D25",0.0118616510235755,6.61988613795843e-05,0.000132564459468417,0.000959155942770362,0.0431910149475597,0.0018665007554884,0.00396610780602127,0.0273099248263393,0.000112120192846732,0.012847965738758,0.000703482237073514,0.0244504816003952,0.0073510773130545,0,0.341751918158568,0,0.000548245614035088,0
"D26",0.0317788781316976,0.000132397722759169,0.000795386756810499,7.99296618975302e-05,0.061524485919564,0.000799928895209315,0.00306471966828917,0.0331144733085926,0,0.0115393766357364,0.00175870559268378,0.268461348481106,0.0372623574144487,0.000265041081367612,0.162084398976982,0,0,0
"D35",0.00735348459093932,0.000661988613795843,0.000132564459468417,7.99296618975302e-05,0.00363366091337022,0.00115545284863568,0.00135208220659816,0.0275953944238272,0,0.000594813228646205,0,0.00296369473944184,0.00253485424588086,0,0.00159846547314578,0,0,0
