"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"A",0.0574236937403,0.00092678405931418,0.00112679790548154,0.0876828391015906,0.0979436782558428,0.0567060705715048,0.107625743645214,0.0769816347892283,0.0423814328960646,0.110397335236736,0.0204009848751319,0.0313657693257594,0.0091254752851711,0.075801749271137,0.257033248081841,0.147546897546898,0.192434210526316,0.0116696588868941
"B",0.105350676224965,0.00112538064345293,0.000265128918936833,0.0749740228598833,0.0612767363118342,0.0588392142920629,0.074003966107806,0.0654676943572176,0.0389057069178159,0.128241732096122,0.0182905381639114,0.0037046184243023,0.00202788339670469,0.0649350649350649,0.0946291560102302,0.149350649350649,0.199013157894737,0.00448833034111311
"C",0.0849161185426059,0.00145637495035085,0.00245244250016571,0.154024458476541,0.162936658683624,0.0632832637098925,0.123039480800433,0.123513179179751,0.039690548267743,0.187009279086367,0.0255012310939149,0.0434675228451469,0.00304182509505703,0.0864033925258415,0.277493606138107,0.15007215007215,0.152412280701754,0.00897666068222621
"D",0.174229546966226,0.00622269296968092,0.00311526479750779,0.0145471984653505,0.123709637459741,0.0482623766776287,0.0897782585181179,0.307831382624417,0.0469783608027806,0.179157744468237,0.111150193457615,0.0041985675475426,0.0306717363751584,0.109196925523456,0.00127877237851662,0.163419913419913,0.133223684210526,0.0215439856373429
"E",0.125267903333087,0.00231696014828545,0.00304898256777358,0.14691071856766,0.080931538525064,0.0834592480668385,0.126104200468722,0.0328290037111048,0.0530328512165041,0.089816797525577,0.0733380232149138,0.699184983946654,0.0415716096324461,0.0980652001060164,0.349424552429668,0.171356421356421,0.151864035087719,0.00807899461400359
"F",0.23405513265834,0.00847345425658679,0.00371180486511566,0.00543521700903205,0.17540672227269,0.0619500488845436,0.119794483504597,0.13693025026168,0.0474268415741675,0.0673328574827504,0.170946183608864,0.11311434922203,0.0291508238276299,0.121388815266366,0.00543478260869565,0.166305916305916,0.149122807017544,0.0161579892280072
"G_1",0,0.000992982920693764,0.406310068270697,0,0,8.88809883565905e-05,0.00153235983414458,0,0,0,0,0,0,0,0,0,0,0
"G_2",0,6.61988613795843e-05,0.494796844965865,0,0,8.88809883565905e-05,0.000991526951505318,0,0,0,0,0,0,0,0,0,0,0
"H",0,0.928505229710049,0.0633658116259031,0,0,0.00168873877877522,0.00414638543356769,0,0.000448480771386927,0.000118962645729241,0,0,0.00101394169835234,0.438112907500663,0,0.0223665223665224,0.0219298245614035,0
"I",0,0.0410432940553422,0.0141181149333864,0.00335704579969627,0,0.235712381121678,0.00324499729583559,0,0.64906379638973,0,0.476960956735842,0,0.318631178707224,0.00132520540683806,0,0.00865800865800866,0,0.702872531418312
"J",0.000258665287118469,0.00450152257381173,0.00576655398687612,0.0167052993365838,0.00445949293913618,0.19891565194205,0.329727780782405,0,0.0745599282430766,0.104806090887461,0.0418571931058741,0.000987898246480612,0.242839036755387,0.00477073946461702,0.00159846547314578,0.0209235209235209,0,0.226211849192101
"L_1",0.109637129554357,0.00258175559380379,0.000927951216278916,0.240668211973463,0.148814931043026,0.0934139187627766,0.00937443663241392,0.123703492244743,0.00392420674963561,0.0641208660480609,0.0332395357017235,0.051617683378612,0.153105196451204,0,0.00575447570332481,0,0,0
"L_2",0.108861133693001,0.00178736925724878,0.000994233446013124,0.255694988410199,0.144520604509043,0.0975913252155364,0.0106363800252389,0.132743362831858,0.00358784617109541,0.0689983345229598,0.0283151600422089,0.0523586070634725,0.168821292775665,0,0.00735294117647059,0,0,0
