"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"D-1",0.890903141361257,0.00113781823353719,0.000285489972164728,0.00044296788482835,0.000163465467919902,0.000342788585140115,0,0.000205465379083624,0.000722841800908715,0.000118483412322275,0.000600240096038415,0.000481540930979133,0.000174489617867737,0.45953059881553,0.000253549695740365,0.000318066157760814,0,0,0,0.0123674911660777,0
"D3",0.0753926701570681,0.935286587967572,0.000285489972164728,0,0,0.00162824577941555,0.000197005516154452,0,0.000206526228831062,0.000592417061611374,0.000300120048019208,0.000160513643659711,0,0.532353586312788,0.00126774847870183,0.000318066157760814,0.0227601156069364,0.000538793103448276,0.992876712328767,0.0223792697290931,0
"D5",6.54450261780105e-05,0.00739581851799175,7.13724930411819e-05,0,0,0.000171394292570057,9.85027580772262e-05,0.000205465379083624,0,0.000118483412322275,0.000150060024009604,0.000321027287319422,0.00261734426801605,0.000658039043649923,0.000760649087221095,0,0.945086705202312,0,0.0010958904109589,0,0.000897666068222621
"D7",0.0136780104712042,0.0402503200113782,0.000142744986082364,0.00014765596160945,0.00294237842255823,0.308595423772388,0.000197005516154452,0.00380110951304705,0,0.890995260663507,0.000300120048019208,0.000963081861958266,0.497469900540918,0.002851502522483,0.3197261663286,0,0.00867052023121387,0,0,0.0117785630153121,0.731597845601436
"D9",0.00111256544502618,0.00078225003555682,0.00035686246520591,7.3827980804725e-05,0.000163465467919902,0.0667580769560374,9.85027580772262e-05,0.141257448119992,0.000309789343246592,0.0123222748815166,0.000450180072028812,0.0428571428571429,0.00506019891816437,0,0.00050709939148073,0.000954198473282443,0,0,0,0.0429917550058893,0.00179533213644524
"D10",0.000458115183246073,0.000284454558384298,0.000285489972164728,0,8.1732733959951e-05,0.0479904019196161,0.000197005516154452,0.147215944113417,0.000826104915324246,0.00165876777251185,0.000600240096038415,0.0605136436597111,0.00244285465014832,0,0.000760649087221095,0.000954198473282443,0,0,0.000547945205479452,0.0265017667844523,0.00718132854578097
"D11",0.00667539267015707,0.00469350021334092,0.000428234958247092,0.000812107788851975,0.0147936248467511,0.243808381180907,0.000197005516154452,0.519005547565235,0.00598926063610078,0.0734597156398104,0.00225090036014406,0.207544141252006,0.0500785203280405,0.00438692695766615,0.243661257606491,0.00349872773536896,0.0202312138728324,0.0134698275862069,0,0.151943462897526,0.228007181328546
"D12",0.000261780104712042,0,0.0730854328741703,0.000369139904023625,0.00563955864323662,0.00839832033593281,0,0.0416067392644339,0.0256092523750516,0.00213270142180095,0.00225090036014406,0.100642054574639,0.00610713662537079,0,0.000760649087221095,0.000636132315521629,0,0.0161637931034483,0,0.0306242638398115,0.00269299820466786
"D13",0.00130890052356021,0.000711136395960745,0.297766040967811,0.0217054263565891,0.0711892112791173,0.0215956808638272,0.0154649330181245,0.0424286007807684,0.0731102850061958,0.0042654028436019,0.14780912364946,0.215088282504013,0.195253882393998,0,0.015973630831643,0.00381679389312977,0.000361271676300578,0.163793103448276,0,0.307420494699647,0.0107719928186715
"D14",0.000130890052356021,7.11136395960745e-05,0.0825066019556063,0.00812107788851975,0.030077646097262,0.00942668609135316,0.00571315996847912,0.00143825765358537,0.0259190417182982,0.0004739336492891,0.00240096038415366,0.050561797752809,0.0122142732507416,0,0.000253549695740365,0.00190839694656489,0,0.078125,0,0.0995288574793875,0
