"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33"
"D-1",0,0.000303490136570561,0.000217226023677637,0.833997495161107,0.000114850120592627,0.00038659793814433,0.000139547864917667,0.00174241324234064,0.000154870682979712,0.00031104199066874,0.00015581177937052,0.000189286390308537,0.000191204588910134,0.00646311566748384,0.000486854917234664,0.00123609394313968,0,0.553000264340471,0.95,0.000282725473565168,0,0.000932256059664388,0,0.000324675324675325,0.977604343400068,0.000399680255795364,0,0.000447227191413238,0,0.00323624595469256,0.00218221494817239,0,0,0.0015748031496063
"D3",0.000193180720564088,0,0.000325839035516455,0.118410565865877,0.000459400482370506,0.000257731958762887,0,0.956584870045012,0,0,0.921938298535369,0.000189286390308537,0,0.0104747047024738,0.000486854917234664,0.000494437577255871,0.00380420999239158,0.439333862014274,0.0181564245810056,0.000565450947130336,0.000603864734299517,0,0,0.000324675324675325,0.0128944689514761,0,0.0216519647153168,0.000447227191413238,0.000487567040468064,0.763214670981661,0,0.992900054614965,0,0.0062992125984252
"D5",9.65903602820439e-05,0,0,0,0.000114850120592627,0,0,0.00726005517641934,0.000154870682979712,0.00031104199066874,0.0060766593954503,0,0,0.000222866057499443,0.000243427458617332,0.000247218788627936,0.000253613999492772,0.000793021411578113,0.000279329608938547,0,0,0,0.00439009093759799,0,0,0.000799360511590727,0.943865276663994,0,0.000487567040468064,0.148867313915858,0,0.00109229929000546,0.000897666068222621,0.0047244094488189
"D7",0.000193180720564088,0.000101163378856854,0.000217226023677637,0.0204941363998634,0.884690478925003,0,0.000976835054423667,0.021780165529258,0.00232306024469568,0.00031104199066874,0.0539108756622001,0.000189286390308537,0.00592734225621415,0.00846891018497883,0.00292112950340798,0,0.827035252345929,0.00185038329368226,0.0136871508379888,0.038733389878428,0.343900966183575,0,0.874882408278457,0,0.00271462504241602,0.00719424460431655,0.0100240577385726,0,0.00243783520234032,0.0544768069039914,0,0,0.731597845601436,0.192125984251969
"D9",9.65903602820439e-05,0.000101163378856854,0.000325839035516455,0.000910850506660594,0.0132077638681521,0.00038659793814433,0.000139547864917667,0.000726005517641934,0.123277063651851,0.00839813374805599,0.00109068245559364,0.000189286390308537,0.000191204588910134,0.137954089592155,0.164313534566699,0.000741656365883807,0.0263758559472483,0,0.00251396648044693,0,0.000603864734299517,0.000310752019888129,0.00846660395108184,0.000974025974025974,0.000339328130302002,0.00199840127897682,0,0,0.111652852267187,0.000539374325782093,0,0,0.00179533213644524,0
"D10",0.000193180720564088,0,0.000543065059194091,0.000683137879995446,0.00218215229125991,0.000902061855670103,0.000139547864917667,0.000290402207056774,0.170202880594703,0.00824261275272162,0.000467435338111561,0,0,0.0797860485848005,0.135589094449854,0.000494437577255871,0.00228252599543495,0,0.000279329608938547,0.000282725473565168,0.000905797101449275,0.000310752019888129,0.00407651301348385,0.000649350649350649,0.000339328130302002,0,0,0,0.162359824475865,0,0.000545553737043099,0.000546149645002731,0.00718132854578097,0
"D11",0.000193180720564088,0.000303490136570561,0.00162919517758227,0.00785608561994763,0.0776386815206156,0.00747422680412371,0.00851241975997767,0.00145201103528387,0.516958339786278,0.0368584758942457,0.00747896540978498,0.000189286390308537,0.0277246653919694,0.418542455983954,0.569863680623174,0.00296662546353523,0.109054019781892,0.00475812846946868,0.00726256983240223,0.0200735086231269,0.256642512077295,0.00124300807955252,0.0783944810285356,0.0025974025974026,0.00305395317271802,0.0107913669064748,0.0212510024057739,0.0348837209302326,0.494392979034617,0.0134843581445523,0,0,0.228007181328546,0.176377952755906
"D12",0,0,0.0972086455957424,0.000113856313332574,0.00229700241185253,0.0324742268041237,0.00279095729835334,0,0.0243146972278148,0.113374805598756,0,0.0104107514669695,0.0216061185468451,0.0454646757298863,0.0126582278481013,0.000247218788627936,0.0017752979964494,0,0.000558659217877095,0.0115917444161719,0.000905797101449275,0,0.00188146754468485,0.000649350649350649,0,0.0115907274180655,0,0.0143112701252236,0.00633837152608484,0,0.000545553737043099,0,0.00269299820466786,0
"D13",0.0139090118806143,0.013859382903389,0.378950798305637,0.00148013207332347,0.00470885494429769,0.0900773195876289,0.060284677644432,0.00101640772469871,0.0466160755768933,0.392068429237947,0.000311623558741041,0.0702252508044672,0.0873804971319312,0.133496768442166,0.0457643622200584,0.0583436341161928,0.00228252599543495,0,0.00111731843575419,0.0158326265196494,0.00905797101449275,0.00497203231821007,0.00689871433051113,0.00422077922077922,0.00101798439090601,0.438449240607514,0.000400962309542903,0.128354203935599,0.0326669917113603,0.000539374325782093,0.0016366612111293,0,0.0107719928186715,0.0519685039370079
"D14",0.00560224089635854,0.00859888720283257,0.0172694688823721,0,0.00068910072355576,0.0306701030927835,0.0270722857940274,0.000145201103528387,0.000619482731918848,0.111975116640746,0,0.11906113950407,0.0336520076481836,0.0385558279474036,0.00316455696202532,0.00321384425216316,0,0,0,0.0277070964093865,0,0.00124300807955252,0.000313577924114142,0.00227272727272727,0.000339328130302002,0.0271782573940847,0,0.0630590339892665,0.00146270112140419,0,0.0016366612111293,0,0,0.0015748031496063
"D15",0.0766927460639428,0.170662620131512,0.184859346149669,0.00387111465330753,0.0017227518088894,0.105927835051546,0.110521909014792,0.00275882096703935,0.0442930153321976,0.135303265940902,0.000934870676223122,0.277683134582624,0.117973231357553,0.0668598172498329,0.0197176241480039,0.214833127317676,0.00152168399695663,0,0.00139664804469274,0.0511733107152954,0.00573671497584541,0.0183343691733996,0.00376293508936971,0.00616883116883117,0.000339328130302002,0.14308553157474,0.00200481154771451,0.131037567084079,0.0814236957581667,0.000539374325782093,0.00545553737043099,0.00327689787001638,0.00897666068222621,0.0645669291338583
"D16",0.0460736018545349,0.0328780981284775,0.00836320191158901,0.000227712626665149,0,0.0532216494845361,0.0820541445715881,0,0.000464612048939136,0.0402799377916019,0,0.0819610070035964,0.0382409177820268,0.00958324047247604,0.00146056475170399,0.00494437577255871,0,0,0,0.0424088210347752,0,0.00124300807955252,0,0.00454545454545455,0,0.0183852917665867,0.000400962309542903,0.0460644007155635,0.000975134080936129,0,0.0010911074740862,0.000546149645002731,0,0.0015748031496063
"D18",0.536559451366754,0.594334850784016,0.236559139784946,0.00637595354662416,0.00884345928563225,0.595618556701031,0.698437063912922,0.00377522869173806,0.0521914201641629,0.146345256609642,0.00669990651293238,0.379708498958925,0.640535372848948,0.0189436148874526,0.0357838364167478,0.277626699629172,0.0210499619579001,0,0.00223463687150838,0.75657336726039,0.363224637681159,0.204785581106277,0.0141110065851364,0.0295454545454545,0.000678656260604004,0.250999200639488,0.000400962309542903,0.406976744186047,0.0628961482203803,0.0113268608414239,0.0310965630114566,0.00109229929000546,0.00628366247755835,0.204724409448819
